Specie,X,Y
Panthera pardus,31.430775,-24.107073
Genetta tigrina,19.090271,-32.397422
Caracal caracal,18.60292,-33.879098
Cynictis penicillata,28.307112,-25.884491
Mungos mungo,28.099956,-26.140841
Cynictis penicillata,20.595902,-25.422841
Mungos mungo,31.708006,-25.434307
Mungos mungo,27.739738,-25.411893
Cynictis penicillata,22.34263,-32.334242
Proteles cristata,23.953897,-30.842638
Caracal caracal,26.569296,-33.615195
Crocuta crocuta,25.853544,-33.398883
Leptailurus serval,29.519457,-28.954165
Aonyx capensis,20.109936,-34.711025
Rhynchogale melleri,30.311095,-23.123936
Helogale parvula,31.810276,-24.83652
Atilax paludinosus,27.377636,-25.735753
Crocuta crocuta,31.560005,-24.992106
Panthera leo,25.948021,-33.49778
Caracal caracal,22.708917,-33.983417
Crocuta crocuta,25.750325,-33.455539
Galerella pulverulenta,18.951824,-34.096074
Cynictis penicillata,27.716035,-26.054694
Cynictis penicillata,28.172585,-25.911009
Lycaon pictus,22.937506,-30.559482
Panthera leo,31.635344,-24.267041
Panthera pardus,31.405334,-24.052458
Caracal caracal,23.402559,-31.743262
Galerella pulverulenta,23.050979,-32.174707
Galerella pulverulenta,23.402537,-31.743273
Lycaon pictus,31.047403,-24.393775
Helogale parvula,31.371219,-24.381124
Ichneumia albicauda,30.909164,-25.410068
Helogale parvula,31.432088,-23.109353
Genetta tigrina,18.47909,-34.35027
Ictonyx striatus,17.65,-29.666667
Otocyon megalotis,24.611064,-28.777764
Caracal caracal,20.56191,-26.225555
Aonyx capensis,18.356758,-34.149388
Otocyon megalotis,19.17043,-34.339113
Caracal caracal,20.837357,-26.081904
Herpestes ichneumon,22.461253,-33.943223
Caracal caracal,18.465249,-33.948268
Atilax paludinosus,22.462337,-33.943606
Panthera leo,31.481584,-23.858299
Crocuta crocuta,31.515162,-25.428276
Panthera leo,31.168434,-24.132868
Suricata suricatta,27.9498,-24.7652
Lycaon pictus,30.995471,-24.455208
Galerella sanguinea,31.266667,-25.166667
Aonyx capensis,19.271567,-34.408199
Galerella sanguinea,31.756448,-28.961887
Galerella pulverulenta,18.924554,-34.350243
Atilax paludinosus,30.6775,-30.3895
Vulpes chama,20.261175,-26.141716
Suricata suricatta,20.631705,-26.773992
Hyaena brunnea,29.568238,-22.933303
Cynictis penicillata,30.325456,-27.830748
Crocuta crocuta,31.560017,-24.992082
Vulpes chama,17.206026,-29.78436
Felis silvestris,31.587317,-25.023566
Helogale parvula,31.715038,-25.39584
Panthera leo,31.435688,-24.444165
Panthera leo,22.295393,-27.210327
Panthera pardus,31.993695,-24.771345
Crocuta crocuta,31.312498,-25.028105
Crocuta crocuta,31.624451,-24.178718
Panthera leo,22.45522,-32.262515
Panthera pardus,28.068292,-24.89495
Panthera leo,30.894408,-24.498121
Panthera pardus,19.057726,-33.142317
Lycaon pictus,31.73749,-24.588062
Galerella sanguinea,32.28671,-27.601285
Genetta genetta,21.798501,-26.944095
Suricata suricatta,27.454788,-28.135472
Panthera leo,31.779123,-24.35186
Otocyon megalotis,22.029162,-34.054352
Panthera pardus,31.742245,-24.869185
Mungos mungo,30.919358,-29.845753
Cynictis penicillata,25.75058,-33.483429
Crocuta crocuta,31.562107,-25.056073
Panthera leo,30.969395,-24.353066
Lycaon pictus,31.434261,-23.929585
Panthera leo,31.680269,-24.398329
Acinonyx jubatus,20.653532,-25.595983
Panthera leo,25.884333,-33.441303
Aonyx capensis,18.81944,-34.320642
Panthera leo,27.916582,-24.305456
Panthera leo,31.834006,-24.69496
Caracal caracal,18.385998,-34.256424
Mungos mungo,31.223466,-29.525883
Galerella pulverulenta,18.425961,-34.157195
Proteles cristata,22.023601,-34.056027
Aonyx capensis,31.717339,-25.378898
Panthera leo,32.46002,-27.095083
Panthera pardus,31.439082,-24.984612
Galerella sanguinea,32.252453,-26.883616
Panthera leo,31.811985,-25.107993
Vulpes chama,23.318648,-32.140191
Galerella pulverulenta,20.334186,-28.592669
Galerella pulverulenta,26.23831,-29.10046
Caracal caracal,18.386572,-34.068214
Panthera leo,31.679307,-24.522015
Panthera leo,31.605924,-25.373006
Panthera leo,27.090795,-25.343797
Lycaon pictus,31.332124,-23.401461
Panthera pardus,31.018433,-24.596054
Panthera pardus,21.721257,-33.737636
Panthera leo,32.183454,-27.610751
Panthera leo,25.785819,-33.509487
Mellivora capensis,31.437042,-24.574045
Crocuta crocuta,31.400015,-23.498167
Crocuta crocuta,31.55474,-23.988385
Mungos mungo,28.339397,-25.406396
Leptailurus serval,31.383945,-23.41887
Galerella pulverulenta,19.011825,-32.58912
Crocuta crocuta,30.643394,-24.185576
Panthera leo,31.370769,-22.896789
Panthera leo,31.865968,-28.220695
Acinonyx jubatus,32.06477,-27.665149
Aonyx capensis,18.473141,-34.090927
Panthera leo,31.578335,-24.972294
Panthera leo,31.986351,-28.292526
Caracal caracal,23.432622,-33.586202
Genetta tigrina,19.833507,-33.760666
Civettictis civetta,28.313889,-24.807778
Mungos mungo,32.556636,-28.123525
Aonyx capensis,19.945251,-34.813995
Otocyon megalotis,20.32558,-34.336633
Panthera leo,25.787618,-33.557518
